method,auroc,fpr_at_95_tpr,ap,n_samples,ood_ratio
MSP,0.6424513699015464,0.9403094105668642,0.20789218039094245,2675729842,0.11844777788295116
MaxLogit,0.6577760966160144,0.9309089185900241,0.23575573735693342,2675729842,0.11844777788295116
Entropy,0.6455966782863174,0.9400936593578197,0.22052800868041697,2675729842,0.11844777788295116
Energy,0.6580002624288996,0.9309215279912589,0.23821484655399294,2675729842,0.11844777788295116
Mahalanobis,0.5007485303543664,0.9551769188742437,0.12032062145251057,2675729842,0.11844777788295116
Mahalanobis++,0.6292671834254145,0.812700260146493,0.17003426900635496,2675729842,0.11844777788295116
ReAct,0.5579200271836124,0.9520790196594178,0.17416832664211843,2675729842,0.11844777788295116
ASH,0.7006331823975178,0.8914622537440493,0.27218081335227995,2675729842,0.11844777788295116
ACTSUB,0.5516424900587769,0.9629109175695134,0.13226565501759335,2675729842,0.11844777788295116
ODIN,0.6545590436755038,0.9324455197344552,0.23333197622082819,2675729842,0.11844777788295116
kNN,0.5869864329013368,0.9254876306814594,0.14991478020352192,2675729842,0.11844777788295116
VIM,0.6531077594721646,0.9353961942377518,0.23205253224436664,2675729842,0.11844777788295116
GEN,0.6428418548435032,0.940564045179145,0.21188605380672582,2675729842,0.11844777788295116
DICE,0.6577761066044928,0.9309089745507867,0.23576832559878216,2675729842,0.11844777788295116
Gram,0.5066023383789607,0.9541870399666018,0.1245752099469711,2675729842,0.11844777788295116
SCALE,0.6390171550099519,0.9425324777231184,0.22186092486412484,2675729842,0.11844777788295116
KL_Matching,0.6455967337553287,0.9401071094423296,0.22052785039467657,2675729842,0.11844777788295116
