method,auroc,fpr_at_95_tpr,ap,n_samples,ood_ratio
MSP,0.7003684610825212,0.7880625973716354,0.15342014010599592,571680482,0.08279754074234776
MaxLogit,0.7248079016406619,0.7815535343535956,0.1669243892961512,571680482,0.08279754074234776
Entropy,0.7090813811390082,0.7872244420764439,0.16107265323812608,571680482,0.08279754074234776
Energy,0.7254072720746103,0.7812771332856794,0.16605727415878718,571680482,0.08279754074234776
Mahalanobis,0.5312346142219282,0.9445905990025563,0.09271923621384688,571680482,0.08279754074234776
Mahalanobis++,0.5971853049241581,0.8678351533732419,0.10919526971156267,571680482,0.08279754074234776
ReAct,0.6851131550025176,0.8330973330121413,0.15027833498538468,571680482,0.08279754074234776
ASH,0.6820149325286304,0.8265389743699829,0.14247063054439557,571680482,0.08279754074234776
ACTSUB,0.5342641786957175,0.9390146341787907,0.09161036797357613,571680482,0.08279754074234776
ODIN,0.7239110474257666,0.7845916518173326,0.16669982160496477,571680482,0.08279754074234776
kNN,0.5914199580313602,0.9042017394504885,0.10441952672273222,571680482,0.08279754074234776
VIM,0.7292331792589772,0.7731379771855702,0.16863011668287292,571680482,0.08279754074234776
GEN,0.7018249237268925,0.7880678572498202,0.15568880802572643,571680482,0.08279754074234776
DICE,0.7248098380161062,0.7815534733252772,0.16692528624941536,571680482,0.08279754074234776
Gram,0.536805898516854,0.9465274375766888,0.09394308116119718,571680482,0.08279754074234776
SCALE,0.7296433527679912,0.7697614576967794,0.1668988995953904,571680482,0.08279754074234776
KL_Matching,0.709081378067332,0.7872261222623326,0.16107262679122045,571680482,0.08279754074234776
