method,auroc,fpr_at_95_tpr,ap,n_samples,ood_ratio
MSP,0.6171133262528384,1.0,0.18984428313693325,176947200,0.1122448334870515
MaxLogit,0.5588083201623638,0.9419632358728104,0.15971491814731525,176947200,0.1122448334870515
Entropy,0.6175562981355738,0.9483575061222438,0.19627476551206224,176947200,0.1122448334870515
Energy,0.5559160183674549,0.9419622109551589,0.1547113866572297,176947200,0.1122448334870515
Mahalanobis,0.7030286800762692,0.718963365693591,0.1999640358158865,176947200,0.1122448334870515
Mahalanobis++,0.7110496929273558,0.8285899072819387,0.2321607556582642,176947200,0.1122448334870515
ReAct,0.6294327295334272,0.9142183012593418,0.20128157272116393,176947200,0.1122448334870515
ASH,0.5366618257779289,0.9538918640960976,0.12588153335306462,176947200,0.1122448334870515
ODIN,0.6021074664350864,0.9494986277912303,0.20404782502263127,176947200,0.1122448334870515
kNN,0.7276503123350391,0.6930132274025981,0.2449280145566721,176947200,0.1122448334870515
VIM,0.6973943491356449,0.88531897834095,0.26102524779068453,176947200,0.1122448334870515
GEN,0.6163648969378136,0.9483537374809412,0.19184958533433605,176947200,0.1122448334870515
DICE,0.5586161265735002,0.9419685259757199,0.1595415198193173,176947200,0.1122448334870515
Gram,0.6328040695184399,0.8975591051389238,0.1626035150682011,176947200,0.1122448334870515
SCALE,0.6330621084051167,0.9425098225465854,0.169408531912067,176947200,0.1122448334870515
KL_Matching,0.6175135757495159,1.0,0.19621392987975836,176947200,0.1122448334870515
ACTSUB,0.5626779701990106,0.9361147947493227,0.1531727868354124,176947200,0.1122448334870515
