method,auroc,fpr_at_95_tpr,ap,n_samples,ood_ratio
MSP,0.7389955132380177,0.7365072691949532,0.1798324171979806,162609082,0.08279487734885559
MaxLogit,0.7125119649917683,0.7485442491228538,0.18086500653029897,162609082,0.08279487734885559
Entropy,0.7420643084014779,0.7336379107427323,0.18824555963974962,162609082,0.08279487734885559
Energy,0.7083714883565265,0.7483297410227542,0.16988585097949557,162609082,0.08279487734885559
Mahalanobis,0.6831122243285458,0.7687541264548349,0.14451839670504937,162609082,0.08279487734885559
Mahalanobis++,0.7036109571796835,0.7663059328295371,0.15985569794926752,162609082,0.08279487734885559
ReAct,0.7400381123420918,0.7214844274313627,0.19959119103563724,162609082,0.08279487734885559
ASH,0.5029886437380846,0.9464925491775056,0.09232323533531381,162609082,0.08279487734885559
ODIN,0.7260711600099786,0.8043762763468302,0.17750876274163538,162609082,0.08279487734885559
kNN,0.7841827603912462,0.6441616829611047,0.2163707645529622,162609082,0.08279487734885559
VIM,0.748632635420563,0.7188883249294921,0.19898270146486227,162609082,0.08279487734885559
GEN,0.739633430568913,0.733067985523945,0.18291656873886794,162609082,0.08279487734885559
DICE,0.7125119649835664,0.7485442826470778,0.18085385177981994,162609082,0.08279487734885559
Gram,0.5633837036175988,0.9429896365292229,0.09666443659005226,162609082,0.08279487734885559
SCALE,0.6607803260059125,0.8046468302447208,0.12502919933326648,162609082,0.08279487734885559
KL_Matching,0.7420381928158419,0.7342381284503844,0.18823233682477242,162609082,0.08279487734885559
ACTSUB,0.7067208163531091,0.7568678110947253,0.1648451226147296,162609082,0.08279487734885559
